x4,x3,x2,x1
12.2,24,217599.8,1.229740224
12.2,24,217639.719,1.224468325
12.2,24,217680.726,1.209482652
12.2,24,217720.149,1.213339344
12.2,24,217758.852,1.22296334
12.2,24,217800.478,1.200898255
12.2,24,217838.587,1.224631772
12.2,24,217878.941,1.210473465
12.2,24,217920.06,1.207109356
12.2,24,217958.245,1.218524836
12.2,24,217999.891,1.200666173
12.2,24,218038.144,1.223717003
12.2,24,218078.69,1.210748868
12.2,24,218118.567,1.208701751
12.2,24,218159.599,1.201165173
12.2,21,218199.015,1.210307523
12.2,21,218237.733,1.224320472
12.2,21,218278.042,1.209318672
12.2,21,218317.981,1.209730787
12.2,21,218357.817,1.209599318
12.2,21,218397.676,1.215239099
12.2,21,218438.733,1.200133356
12.2,21,218477.221,1.21768138
12.2,21,218518.632,1.200202549
12.2,21,218556.817,1.218458717
12.2,21,218597.237,1.21070318
12.2,21,218637.177,1.20919569
12.2,21,218677.018,1.209369984
12.2,21,218717.189,1.214034124
12.2,21,218756.621,1.211415479
12.2,21,218797.888,1.216273562
12.2,21,218836.286,1.237431798
12.2,21,218876.905,1.238151126
12.2,21,218917.548,1.230519561
12.2,21,218956.801,1.247674828
12.2,21,218996.892,1.258643567
12.2,21,219037.135,1.256919854
12.2,21,219077.312,1.258103092
12.2,21,219117.308,1.241776069
12.2,21,219158.664,1.229200412
12.2,21,219196.912,1.251952927
12.2,21,219238.714,1.247240998
12.2,21,219277.102,1.268742557
12.2,21,219318.92,1.221837386
12.2,21,219357.321,1.279640415
12.2,21,219397.982,1.247089037
12.2,21,219438.346,1.243330518
12.2,21,219476.883,1.252388454
12.2,21,219517.906,1.230193837
12.2,21,219556.05,1.257405751
12.2,21,219596.192,1.217183049
12.2,21,219637.059,1.202332506
12.2,21,219674.921,1.226283547
12.2,21,219715.164,1.21647041
12.2,21,219755.055,1.216898363
12.2,21,219794.532,1.215298809
12.2,21,219835.372,1.200019868
12.2,21,219874.582,1.214758846
12.2,21,219913.115,1.223905422
12.2,21,219952.66,1.21090216
12.2,21,219990.354,1.220208734
12.2,21,220029.184,1.214738039
12.2,21,220066.846,1.221307608
12.2,21,220105.481,1.214914336
12.2,21,220143.847,1.221023837
12.2,21,220182.214,1.215528921
12.2,21,220221.619,1.20532251
12.2,21,220258.504,1.230820053
12.2,21,220297.344,1.214741835
12.2,21,220336.75,1.205344296
12.2,21,220373.589,1.225783419
12.2,21,220412.392,1.219567542
12.2,21,220450.731,1.215278683
12.2,21,220489.082,1.2149618
12.2,21,220528.6,1.228386666
12.2,21,220566.476,1.215510055
12.2,21,220604.706,1.21588951
12.2,21,220642.124,1.225814126
12.2,21,220681.014,1.232953066
12.2,21,220720.373,1.235791584
12.2,21,220758.08,1.24596848
12.2,21,220799.531,1.246501831
12.2,21,220840.493,1.227172704
12.2,21,220878.904,1.249123876
12.2,21,220919.377,1.248003805
12.2,21,220959.613,1.240299252
12.2,21,220999.236,1.243701696
12.2,21,221039.244,1.228451946
12.2,21,221079.192,1.234170401
12.2,21,221119.159,1.227675443
12.2,21,221160.165,1.224915459
12.2,21,221199.661,1.223089431
12.2,21,221239.535,1.227374064
12.2,21,221278.324,1.238054065
12.2,21,221318.734,1.227040305
12.2,21,221358.565,1.223925149
12.2,21,221398.403,1.235382685
12.2,21,221439.505,1.201648935
