x4,x3,x2,x1
12.7,26,8.7242e+05,1.3656
16.3,26,8.1324e+05,1.6076
9,26,2.8077e+05,1.2179
15.3,26,7.2792e+05,1.2947
9,26,9.3195e+05,1.4798
6.1,26,9.7784e+05,1.4251
6.9,26,5.718e+05,1.8327
9,24,2.5404e+05,1.2111
12.7,26,8.5291e+05,1.5996
6.1,26,9.6989e+05,1.4251
3.7,26,4.4144e+05,1.8958
5.1,26,3.779e+05,1.6909
5.5,26,2.9121e+05,1.2069
8,26,4.8351e+05,1.8298
12.7,26,8.7352e+05,1.7253
11.5,26,5.9298e+05,1.2348
9,24,2.4524e+05,1.1957
5.1,26,3.6728e+05,1.7501
16.3,26,7.8178e+05,1.5944
6.9,26,5.3604e+05,1.866
9,26,9.0152e+05,1.6608
5.1,26,3.8553e+05,1.7569
9,24,2.459e+05,1.2113
5.5,26,2.915e+05,1.1915
3.7,26,4.4626e+05,1.7758
12.7,26,8.6785e+05,1.4817
3.7,24,4.1352e+05,1.7414
13.4,26,6.6479e+05,1.3814
15.3,26,7.2042e+05,1.316
15.3,26,7.3278e+05,1.4363
6.1,26,9.8435e+05,1.4251
8,26,4.9276e+05,1.8581
15.3,26,7.6959e+05,1.6305
8,26,5.0052e+05,1.8527
5.5,26,2.9084e+05,1.2073
6.1,26,9.7374e+05,1.4251
16.3,26,7.8854e+05,1.6103
15.3,26,7.679e+05,1.6174
9,24,2.7076e+05,1.198
16.3,26,7.7394e+05,0.93388
8,26,4.7131e+05,1.8141
3.7,26,4.6485e+05,1.8639
13.4,26,6.8819e+05,1.2653
5.1,26,3.6252e+05,1.7209
9,26,9.1796e+05,1.6363
5.5,24,3.3162e+05,1.8801
5.1,24,3.9737e+05,1.7175
13.4,26,6.9152e+05,1.3159
9,26,9.0067e+05,1.4416
9,24,2.7384e+05,1.2268
12.7,26,8.731e+05,1.6995
13.4,26,6.8454e+05,1.3164
5.1,26,3.6469e+05,1.8229
5.5,26,2.9295e+05,1.184
13.4,26,6.9867e+05,1.3386
11.5,26,6.1905e+05,1.246
3.7,26,4.2275e+05,1.7723
8,26,5.1758e+05,1.7842
12.7,26,8.8887e+05,1.5743
16.3,26,7.8342e+05,1.6081
4.3,26,1.0614e+06,1.5189
11.5,26,6.1831e+05,1.2567
5.1,24,3.9581e+05,1.785
4.3,26,1.0418e+06,1.4251
9,24,2.6463e+05,1.213
15.3,26,7.1067e+05,1.3606
6.1,26,9.6367e+05,1.4251
6.1,26,1.0162e+06,1.4251
4.3,26,1.0531e+06,1.4116
3.7,26,4.2214e+05,1.7921
6.1,26,1.0108e+06,1.4251
16.3,26,7.9913e+05,1.6104
15.3,26,7.3543e+05,1.4995
5.5,26,3.2563e+05,1.7824
5.1,26,3.8717e+05,1.7887
16.3,26,8.1194e+05,1.6913
4.3,26,1.0197e+06,1.4251
13.4,26,7.0031e+05,1.4361
11.5,26,6.4323e+05,1.3777
15.3,26,7.1197e+05,1.4028
