x2,x3,x1
47.292,66.111,1.072 
55.032,56.812,1.073
44.347,78.428,1.149
31.15,74.489,1.074
25.537,68.051,1.074
15.501,68.997,1.075
16.928,59.316,1.076
13.899,65.549,1.075
15.754,72.897,1.181
12.767,80.493,1.075
7.874,71.945,1.075
-0.959,64.081,1.076
7.499,63.153,1.092
6.891,66.489,1.075
24.365,53.612,1.075
24.928,63.75,1.075
24.791,72.069,1.076
34.783,57.632,1.076
29.399,60.667,1.074
36.975,60.124,1.077
38.701,68.015,1.074
34.942,78.772,1.024
44.423,57.076,1.075
46.154,53.056,1.073
38.243,78.595,1.073
45.69,55.244,1.125
44.433,45.668,1.075
45.867,50.557,1.074
39.066,70.058,1.071
30.502,67.538,1.254
27.479,55.258,1.073
27.371,71.46,1.072
40.938,76.834,1.072
44.167,70.565,1.071
42.847,76.629,1.07
42.362,75.233,1.022
45.175,68.196,1.07
36.081,81.605,1.071
41.723,59.29,1.073
40.911,54.048,1.072
41.627,53.007,1.072
48.779,42.553,1.073
41.627,50.664,1.072
38.559,62.688,1.073
36.182,63.532,1.072
29.483,70.972,1.073
40.283,51.415,1.072
41.947,51.936,1.072
40.853,58.116,1.072
44.641,53.84,1.072
36.676,74.935,1.072
41.465,68.573,1.072
40.976,68.185,1.074
44.915,60.135,1.073
37.884,57.882,1.073
28.147,68.619,1.073
29.015,51.746,1.074
38.803,38.01,1.073
35.576,36.362,1.073
43.813,31.068,1.071
43.31,59.466,1.067
38.542,91.775,1.066
44.362,73.659,1.067
36.443,80.202,1.036
42.88,66.572,1.068
45.448,57.471,1.068
47.779,60.696,1.066
36.988,78.538,1.067
41.059,67.143,1.067
40.465,75.95,1.069
39.741,72.978,1.069
39.798,67.153,1.069
38.163,62.421,1.009
45.302,46.454,1.038
38.109,50.19,1.07
42.539,47.41,1.032
48.767,36.36,1.069
33.022,68.902,1.068
50.052,38.924,1.069
45.368,44.953,1.068
36.975,65.645,1.068
28.104,95.607,1.067
26.165,93.227,1.067
32.807,78.86,0.901
35.638,74.05,1.066
28.817,92.769,1.093
27.499,91.514,1.068
29.714,81.137,1.066
24.436,81.78,1.068
40.159,55.19,1.067
36.467,56.516,1.067
36.106,71.843,1.028
26.108,93.173,1.067
27.818,90.139,1.068
39.854,84.507,1.069
46.096,80.331,1.081
38.808,70.714,1.071
37.82,59.787,1.071
30.608,75.074,1.07
34.632,69.34,1.071
34.788,62.904,1.069
29.799,71.571,1.069
34.525,78.948,1.068
29.449,86.662,1.069
27.614,80.111,1.07
21.881,82.271,1.072
11.876,79.36,1.071
8.415,70.906,1.072
8.901,72.56,1.069
12.974,81.412,1.068
21.356,83.531,1.067
13.07,81.439,1.067
13.611,82.719,1.067
27.549,83.264,1.066
26.759,88.623,1.067
41.488,72.337,1.066
42.153,68.263,1.065
42.923,79.015,1.064
46.459,78.096,1.061
44.662,64.92,1.062
44.07,72.428,1.062
42.16,89.513,1.06
43.793,85.049,1.06
46.092,63.894,1.061
40.809,54.188,1.062
41.775,51.881,1.063
40.936,76.521,1.062
42.658,71.192,1.062
34.938,74.944,1.063
36.617,60.737,1.065
37.761,65.755,1.068
39.598,71.696,1.068
41.967,60.499,1.068
32.939,76.453,1.068
45.244,55.907,1.067
40.963,67.505,1.067
43.839,71.152,1.066
45.717,83.474,1.063
34.885,98.943,1.065
