x22;x23;x08;x17;x18;x16;x14;x15;x10;x25;x26;x11;x19;x20;x21;x09;x27;x28;x29;x30;x31;x12;x07
2;5;70;26;1;16;7;45;75;32;0,25;0,5;0,5;10;0;0,6;1,1;1;0;1,1;0,6;1,1;180
2;5;70;26;1;16;7;45;75;32;0,25;0,5;0,5;10;0;0,6;1,1;1;0;1,1;0,6;1,1;180
2;5;70;26;1;16;7;45;75;32;0,25;0,5;0,5;10;0;0,6;1,1;1;0;1,1;0,6;1,1;180
56;3;90;18,5;2;16;8;65;105;16;0,5;0,25;0,5;10;0;0,5;0,85;1;0;1,1;0,6;1,1;180
56;3;90;18,5;2;16;8;65;105;16;0,5;0,25;0,5;10;0;0,5;0,85;1;0;1,1;0,6;1,1;180
2;5;90;18,5;1;16;8;60;105;16;0,25;0,5;0,5;10;0;0,6;0,6;1;0;1,1;0,6;1,1;150
2;5;90;18,5;1;16;8;60;105;16;0,25;0,5;0,5;10;0;0,6;0,6;1;0;1,1;0,6;1,1;150
2;5;90;18,5;1;16;8;60;105;16;0,25;0,5;0,5;10;0;0,6;0,6;1;0;1,1;0,6;1,1;150
2;5;90;18,5;1;16;8;60;105;16;0,25;0,5;0,5;10;0;0,6;0,6;1;0;1,1;0,6;1,1;150
56;7;90;26;0;16;9;90;90;32;0,5;0,5;0,5;20;0,5;0,5;0,85;1;0;1,1;0,6;1,1;120
56;7;90;26;0;16;9;90;90;32;0,5;0,5;0,5;20;0,5;0,5;0,85;1;0;1,1;0,6;1,1;120
56;7;90;26;0;16;9;90;90;32;0,5;0,5;0,5;20;0,5;0,5;0,85;1;0;1,1;0,6;1,1;120
2;6;90;26;2;16;9;105;105;32;0,5;0,5;0,5;20;0,5;0,4;1,1;1;0;1,1;0,6;1,1;90
2;5;90;26;0;16;8;105;105;32;0,5;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
56;5;90;18,5;0;16;9;90;105;16;0,5;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
110;3;90;26;0;16;9;75;105;32;0,5;0,5;1;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
2;5;90;26;2;16;9;85;90;32;0,5;0,25;0,5;20;0,5;0,6;1,1;0;0;1,1;0,6;1,1;150
2;7;90;18,5;2;16;8;50;105;16;0,5;0,5;0,5;20;0,5;0,4;1,1;1;0;1,1;0,6;1,1;180
2;5;90;18,5;2;16;8;75;105;16;0,25;0,5;0,5;20;0,5;0,4;1,1;1;0;1,1;0,6;1,1;150
2;2;90;26;2;16;8;90;105;32;0,25;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
110;5;90;18,5;2;16;8;105;90;16;0,25;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;180
2;3;70;26;1;11,5;10;35;90;32;0,5;0,25;1;15;0,25;0,4;1,1;1;0,55;0,85;0,6;1,1;180
2;3;70;26;1;11,5;10;35;90;32;0,5;0,25;1;15;0,25;0,4;1,1;1;0,55;0,85;0,6;1,1;180
2;3;70;26;1;11,5;10;35;90;32;0,5;0,25;1;15;0,25;0,4;1,1;1;0,55;0,85;0,6;1,1;180
2;6;90;18,5;2;16;6;70;105;16;0,25;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,85;1,1;90
2;6;90;18,5;2;16;6;70;105;16;0,25;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,85;1,1;90
2;6;90;18,5;2;16;6;70;105;16;0,25;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,85;1,1;90
56;4;90;26;2;16;8;90;105;32;0,5;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
56;4;90;26;2;16;8;90;105;32;0,5;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
56;4;90;26;2;16;8;90;105;32;0,5;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
2;4;70;26;2;16;8;90;105;32;0,5;0,5;0,5;10;0;0,6;0,6;1;0;1,1;0,6;1,1;150
2;4;70;26;2;16;8;90;105;32;0,5;0,5;0,5;10;0;0,6;0,6;1;0;1,1;0,6;1,1;150
2;4;70;26;2;16;8;90;105;32;0,5;0,5;0,5;10;0;0,6;0,6;1;0;1,1;0,6;1,1;150
56;6;90;26;2;16;7;45;90;32;0,25;0,5;0,5;15;0,25;0,6;1,1;1;0;1,1;0,6;1,1;120
56;6;90;26;2;16;7;45;90;32;0,25;0,5;0,5;15;0,25;0,6;1,1;1;0;1,1;0,6;1,1;120
2;5;90;18,5;2;16;7;45;105;16;0,25;0,25;1;10;0;0,5;1,1;1;0;0,85;0,6;1,1;120
2;5;90;18,5;2;16;7;45;105;16;0,25;0,25;1;10;0;0,5;1,1;1;0;0,85;0,6;1,1;120
2;5;90;18,5;2;16;7;45;105;16;0,25;0,25;1;10;0;0,5;1,1;1;0;0,85;0,6;1,1;120
2;4;70;26;2;16;4,5;105;90;32;0;0,25;0,5;20;0,5;0,6;1,1;1;0;0,85;0,6;1,1;150
2;4;70;26;2;16;4,5;105;90;32;0;0,25;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
2;4;70;26;2;16;4,5;105;90;32;0;0,25;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
2;4;70;26;2;16;4,5;105;90;32;0;0,25;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
110;6;90;18,5;1;16;3;75;105;16;0;0,5;1;15;0,25;0,4;0,85;1;0,55;1,1;0,6;1,1;90
110;6;90;18,5;1;16;3;75;105;16;0;0,5;1;15;0,25;0,4;0,85;1;0,55;1,1;0,6;1,1;90
56;3;50;26;2;16;7;65;105;32;0,25;0,5;1;10;0;0,5;0,85;1;0,55;1,1;0,6;1,1;120
56;3;50;26;2;16;7;65;105;32;0,25;0,5;1;10;0;0,5;1,1;1;0;1,1;0,6;1,1;180
56;3;50;26;2;16;7;65;105;32;0,25;0,5;1;10;0;0,5;1,1;1;0;1,1;0,6;1,1;180
2;3;50;26;2;16;7;65;105;32;0,25;0,5;1;10;0;0,5;1,1;1;0;1,1;0,6;1,1;180
56;4;90;26;2;16;9;75;105;32;0,5;0,5;0,5;15;0,25;0,6;0,6;0;0;1,1;0,6;1,1;180
56;4;90;26;2;16;9;75;90;32;0,5;0,5;0,5;15;0,25;0,6;0,6;0;0;1,1;0,85;1,1;180
2;6;90;18,5;2;16;8;45;90;16;0,5;0,5;0,5;15;0,25;0,6;1,1;1;0;1,1;0,85;1,1;180
2;6;90;18,5;2;16;8;45;90;16;0,5;0,5;0,5;15;0,25;0,6;1,1;1;0;1,1;0,85;1,1;180
110;3;70;26;2;16;9;45;90;32;0,5;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;180
110;3;70;26;2;16;9;90;105;32;0,5;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;120
110;3;70;26;2;16;9;90;105;32;0,5;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;120
110;3;70;26;2;16;9;90;105;32;0,5;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;120
56;4;90;26;2;16;6;75;105;32;0,25;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;150
56;4;90;26;2;16;6;75;105;32;0,25;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;150
56;4;90;26;2;16;6;75;105;32;0,25;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;150
56;4;90;26;2;16;6;75;105;32;0,25;0,5;0,5;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;150
2;2;70;18,5;2;11,5;8;65;105;16;0,5;0,25;0,5;15;0,25;0,5;0,6;1;0;0,6;0,85;1,1;120
2;2;70;18,5;2;11,5;8;65;105;16;0,5;0,25;0,5;15;0,25;0,5;0,6;1;0;0,6;0,85;1,1;120
2;2;70;18,5;2;11,5;8;65;105;16;0,5;0,25;0,5;15;0,25;0,5;1,1;1;0;0,6;0,85;1,1;120
2;2;70;18,5;2;11,5;8;65;105;16;0,5;0,25;0,5;15;0,25;0,5;1,1;1;0;0,6;0,85;1,1;120
110;3;90;26;2;16;7;90;90;32;0,25;0,5;1;10;0;0,4;0,6;0;0,55;1,1;0,6;1,1;180
110;3;90;26;2;16;7;90;90;32;0,25;0,5;1;10;0;0,4;0,6;0;0,55;1,1;0,6;1,1;180
110;3;90;26;2;16;7;90;90;32;0,25;0,5;1;10;0;0,4;0,6;0;0,55;1,1;0,6;1,1;180
110;4;70;26;2;16;7;105;105;32;0,25;0,25;0,5;15;0,25;0,5;0,85;1;0;1,1;0,6;1,1;180
110;4;70;26;2;16;7;105;105;32;0,25;0,25;0,5;15;0,25;0,5;0,85;1;0;1,1;0,6;1,1;180
110;4;90;26;2;16;7;105;105;32;0,25;0,5;1;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;180
110;4;90;26;2;16;7;105;105;32;0,25;0,5;1;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;180
110;4;90;26;2;16;7;105;105;32;0,25;0,5;1;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;180
110;4;90;26;2;16;7;105;105;32;0,25;0,5;1;20;0,5;0,6;0,85;1;0;1,1;0,6;1,1;180
56;3;90;26;2;16;6;75;105;32;0,25;0,5;1;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
56;3;90;26;2;16;6;75;105;32;0,25;0,5;1;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
56;3;90;26;2;16;6;75;105;32;0,25;0,5;1;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
56;3;90;26;2;16;6;75;105;32;0,25;0,5;1;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
2;5;90;26;2;11,5;7;75;105;32;0,25;0,25;0,5;15;0,25;0,6;0,85;1;0;1,1;0,6;1,1;150
2;5;90;26;2;11,5;7;75;105;32;0,25;0,25;0,5;15;0,25;0,6;0,85;1;0;0,85;0,6;1,1;150
110;6;90;18,5;1;16;7;75;90;16;0,25;0,5;0,5;15;0,25;0,6;0,85;1;0;0,85;0,6;1,1;150
110;6;90;18,5;1;16;7;75;90;16;0,25;0,5;0,5;15;0,25;0,6;0,85;1;0;0,85;0,6;1,1;150
2;5;70;18,5;1;16;8;65;90;16;0,5;0,5;0,5;10;0;0,5;0,85;1;0;0,85;0,6;1,1;180
2;5;70;26;2;16;8;65;105;32;0,5;0,5;0,5;10;0;0,5;1,1;1;0;1,1;0,6;1,1;180
2;5;70;26;2;16;8;65;105;32;0,5;0,5;0,5;10;0;0,5;1,1;1;0;1,1;0,6;1,1;180
110;3;90;26;2;16;6;90;105;32;0,25;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
110;3;90;26;2;16;6;90;105;32;0,25;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;120
110;6;90;26;2;16;6;90;105;32;0,25;0,5;1;15;0,25;0,4;1,1;1;0;1,1;0,6;1,1;120
110;6;90;26;2;16;6;90;105;32;0,25;0,5;1;15;0,25;0,4;1,1;1;0;1,1;0,6;1,1;120
110;6;90;26;2;16;6;90;105;32;0,25;0,5;1;15;0,25;0,4;1,1;1;0;1,1;0,6;1,1;120
2;5;90;26;2;16;6;90;105;32;0,25;0,25;0,5;10;0;0,4;1,1;1;0;1,1;0,6;1,1;120
2;5;90;26;2;16;7;90;105;32;0,25;0,25;0,5;10;0;0,4;1,1;1;0;1,1;0,6;1,1;90
2;5;90;26;2;16;7;90;90;32;0,25;0,25;0,5;10;0;0,5;0,85;1;0;1,1;0,85;1,1;90
2;5;90;26;2;16;7;90;90;32;0,25;0,25;0,5;10;0;0,5;0,85;1;0;1,1;0,85;1,1;90
2;5;90;26;2;16;7;90;90;32;0,25;0,25;0,5;10;0;0,5;0,85;1;0;1,1;0,85;1,1;90
2;6;90;18,5;2;16;4;45;105;16;0;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
2;6;90;18,5;2;16;4;45;105;16;0;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
2;6;90;18,5;2;16;4;45;105;16;0;0,5;0,5;20;0,5;0,6;1,1;1;0;1,1;0,6;1,1;150
110;5;70;26;2;16;7;105;105;32;0,25;0,5;1;20;0,5;0,6;0,6;0;0,55;0,85;0,6;1,1;120
110;5;70;26;2;16;7;105;105;32;0,25;0,5;1;20;0,5;0,6;0,6;0;0,55;0,85;0,6;1,1;120
110;5;70;26;2;16;7;105;105;32;0,25;0,5;1;20;0,5;0,6;0,6;0;0,55;0,85;0,6;1,1;120
