x22,x23,x08,x17,x18,x16,x14,x15,x10,x25,x26,x11,x19,x20,x21,x09,x27,x28,x29,x30,x31,x12,x07
2,5,7,26,1,16,7,45,75,32,0.25,0.5,0.5,10,0,0.6,1.1,1,0,1.1,0.6,1.1,180
2,5,7,26,1,16,7,45,75,32,0.25,0.5,0.5,10,0,0.6,1.1,1,0,1.1,0.6,1.1,180
2,5,7,26,1,16,7,45,75,32,0.25,0.5,0.5,10,0,0.6,1.1,1,0,1.1,0.6,1.1,180
56,3,9,18.5,2,16,8,65,105,16,0.5,0.25,0.5,10,0,0.5,0.85,1,0,1.1,0.6,1.1,180
56,3,9,18.5,2,16,8,65,105,16,0.5,0.25,0.5,10,0,0.5,0.85,1,0,1.1,0.6,1.1,180
2,5,9,18.5,1,16,8,60,105,16,0.25,0.5,0.5,10,0,0.6,0.6,1,0,1.1,0.6,1.1,150
2,5,9,18.5,1,16,8,60,105,16,0.25,0.5,0.5,10,0,0.6,0.6,1,0,1.1,0.6,1.1,150
2,5,9,18.5,1,16,8,60,105,16,0.25,0.5,0.5,10,0,0.6,0.6,1,0,1.1,0.6,1.1,150
2,5,9,18.5,1,16,8,60,105,16,0.25,0.5,0.5,10,0,0.6,0.6,1,0,1.1,0.6,1.1,150
2,5,9 ,18.5,1,16,8,60,105,16,0.25,0.5,0.5,10,0,0.6,0.6,1,0,1.1,0.6,1.1,150
