x1,x2,x3
12.2,24,1.211911611
17.1,24,1.794087197
02.7,26,1.812741602
10.0,26,1.43041201
05.1,24,1.755342547
05.1,26,1.748201285
05.1,24,1.729254114
05.5,26,1.200023856
05.5,21,0.891032363
05.5,24,2.248577241
05.5,26,1.797159206
05.5,24,1.77400747
06.1,26,1.425286882
06.9,26,1.741909423
08.0,26,1.857433678
09.0,21,1.211413344
09.0,24,1.213347098
09.0,26,1.213868115
09.0,26,1.556781265
11.5,26,1.279506147
12.2,21,1.219301368
12.7,26,1.553739092
15.3,26,1.474097426
16.3,26,1.600396482
13.4,26,1.346182288
